filename,av_cov,stdev,Group,Collection
23442Pal_B10_S84_cov.txt,4.49065,7.09766,Bamfield,New
23442Pal_B11_S85_cov.txt,4.5198,7.43003,Bamfield,New
23442Pal_B12_S86_cov.txt,5.051,7.11861,Bamfield,New
23442Pal_B13_S87_cov.txt,6.05688,10.2701,Bamfield,New
23442Pal_B14_S88_cov.txt,5.42347,7.69042,Bamfield,New
23442Pal_B15_S89_cov.txt,6.25897,12.3394,Bamfield,New
23442Pal_B16_S90_cov.txt,5.72954,10.3574,Bamfield,New
23442Pal_B17_S91_cov.txt,5.55895,8.71001,Bamfield,New
23442Pal_B18_S92_cov.txt,6.15156,10.1304,Bamfield,New
23442Pal_B19_S93_cov.txt,5.38894,7.97203,Bamfield,New
23442Pal_B1_S76_cov.txt,7.38218,13.3511,Bamfield,New
23442Pal_B20_S94_cov.txt,6.53609,11.3384,Bamfield,New
23442Pal_B21_S95_cov.txt,4.67169,9.89811,Bamfield,New
23442Pal_B22_S96_cov.txt,4.8142,10.5886,Bamfield,New
23442Pal_B2_S77_cov.txt,5.17265,8.24621,Bamfield,New
23442Pal_B3_S78_cov.txt,5.33667,10.3644,Bamfield,New
23442Pal_B5_S79_cov.txt,4.74757,7.6382,Bamfield,New
23442Pal_B6_S80_cov.txt,3.98757,7.32616,Bamfield,New
23442Pal_B7_S81_cov.txt,2.58504,7.75922,Bamfield,New
23442Pal_B8_S82_cov.txt,4.29462,7.43975,Bamfield,New
23442Pal_B9_S83_cov.txt,3.97447,6.29447,Bamfield,New
23442Pal_C10_S169_cov.txt,3.85064,7.45309,Central BC (Hi),Historic
23442Pal_C1_S160_cov.txt,2.89264,5.97365,Central BC (Hi),Historic
