filename,mean_fst,weighted_fst,pop1,pop2
LA_BamfieldH_R2_mindpop0.5_fst.log,-0.000328997,0.00302736,LA (AQ),Bamfield (Hi)
fst.59061364.log,0.000342041,0.00393569,Santa Barbara (AQ),Bamfield (Hi)
HG_Hazard_R2_mindpop0.5_fst.log,0.033624,0.0548408,Haida Gwaii (Hi),Hazard Canyon
fst.59061491.log,-0.000675432,0.00167568,Ensenada,Monterey
fst.59061288.log,0.000342041,0.00393569,Bamfield (Hi),Santa Barbara (AQ)
SB_SD_R2_mindpop0.5_fst.log,-0.00817797,0.000401438,Santa Barbara,San Diego (AQ)
fst.59061167.log,0.0308552,0.0502898,Haida Gwaii (Hi),Ensenada
fst.59061159.log,0.0339818,0.057041,Haida Gwaii (Hi),Santa Barbara (AQ)
fst.59061224.log,-0.00258847,0.00372419,Winter Harbor (Hi),San Diego (AQ)
Baja_Monterey_R2_mindpop0.5_fst.log,-0.000675432,0.00167568,Ensenada,Monterey
Baja_SB_R2_mindpop0.5_fst.log,-0.00753727,0.00038429,Ensenada,Santa Barbara
fst.59061492.log,-0.00460856,0.000189647,Ensenada,Hazard Canyon
fst.59061482.log,-0.00510248,0.00044874,San Diego (AQ),Ensenada
fst.59061455.log,-0.00878172,0.00313448,LA (AQ),Santa Barbara
fst.59061486.log,-0.000924029,0.00434639,Ensenada,Ucluelet
fst.59061495.log,-0.000940957,0.00249151,Ensenada,LA (AQ)
fst.59061404.log,-0.0108194,2.84E-05,Santa Barbara,Hazard Canyon
BamfieldH_Central_R2_mindpop0.5_fst.log,0.0127231,0.028055,Bamfield (Hi),Central BC (Hi)
fst.59061265.log,0.00513673,0.00893211,Bamfield,Santa Barbara (AQ)
Central_Hazard_R2_mindpop0.5_fst.log,0.0156257,0.0304998,Central BC (Hi),Hazard Canyon
fst.59061286.log,-0.00352643,0.00103364,Bamfield (Hi),Hazard Canyon
fst.59061496.log,-0.00510248,0.00044874,Ensenada,San Diego (AQ)
fst.59061334.log,-0.000859172,1.67E-06,Monterey,Fort Bragg
fst.59061493.log,-0.000454248,0.00326601,Ensenada,Santa Barbara (AQ)
Ucluelet_LA_R2_mindpop0.5_fst.log,0.000426124,0.00500765,Ucluelet,LA (AQ)
Bamfield_Central_R2_mindpop0.5_fst.log,0.0162005,0.0320468,Bamfield,Central BC (Hi)
fst.59061274.log,0.0127231,0.028055,Bamfield (Hi),Central BC (Hi)
fst.59061242.log,-0.000779952,0.00451364,Ucluelet,Hazard Canyon
fst.59061177.log,0.0162005,0.0320468,Central BC (Hi),Bamfield
LA_Central_R2_mindpop0.5_fst.log,0.0157712,0.0313865,LA (AQ),Central BC (Hi)
LA_Bamfield_R2_mindpop0.5_fst.log,0.00320837,0.00668819,LA (AQ),Bamfield
fst.59061362.log,0.00170102,0.00694485,Santa Barbara (AQ),Ucluelet
SB_Central_R2_mindpop0.5_fst.log,0.0131956,0.0307389,Santa Barbara,Central BC (Hi)
fst.59061215.log,0.00249395,0.00703045,Winter Harbor (Hi),Santa Barbara (AQ)
fst.59061329.log,0.0153985,0.0305431,Monterey,Central BC (Hi)
B_BH_R2_mindpop0.65_fst.log,0.0026977,0.00511045,Bamfield,Fort Bragg
