Id,group,Collection,
ngm_dtas_rg_24145Pal_D5_S13.bam,San Diego,Historic,S217
ngm_dtas_rg_24145Pal_Female1_S47.bam,Monterey Female,New,S218
ngm_dtas_rg_24145Pal_Female2_S48.bam,Monterey Female,New,S219
ngm_dtas_rg_24145Pal_Female4_S49.bam,Monterey Female,New,S220
ngm_dtas_rg_24145Pal_Female5_S50.bam,Monterey Female,New,S221
ngm_dtas_rg_24145Pal_Female8_S51.bam,Monterey Female,New,S222
ngm_dtas_rg_24145Pal_Male1_S42.bam,Monterey Male,New,S223
ngm_dtas_rg_24145Pal_Male2_S43.bam,Monterey Male,New,S224
ngm_dtas_rg_24145Pal_Male3_S44.bam,Monterey Male,New,S225
ngm_dtas_rg_24145Pal_Male4_S45.bam,Monterey Male,New,S226
ngm_dtas_rg_24145Pal_Male7_S46.bam,Monterey Male,New,S227
ngm_dtas_rg_24145Pal_S10_S25.bam,Bamfield,Historic,S228
ngm_dtas_rg_24145Pal_S11_S26.bam,Bamfield,Historic,S229
ngm_dtas_rg_24145Pal_S12_S27.bam,Bamfield,Historic,S230
ngm_dtas_rg_24145Pal_S13_S28.bam,Bamfield,Historic,S231
ngm_dtas_rg_24145Pal_S14_S29.bam,Bamfield,Historic,S232
ngm_dtas_rg_24145Pal_S15_S30.bam,Bamfield,Historic,S233
ngm_dtas_rg_24145Pal_S16_S31.bam,Bamfield,Historic,S234
ngm_dtas_rg_24145Pal_S17_S32.bam,Bamfield,Historic,S235
ngm_dtas_rg_24145Pal_S34_S33.bam,Bamfield,Historic,S236
ngm_dtas_rg_24145Pal_S7_S24.bam,Bamfield,Historic,S237
ngm_dtas_rg_24145Pal_SB-10_S5.bam,Santa Barbara,New,S238
ngm_dtas_rg_24145Pal_SB-2_S1.bam,Santa Barbara,New,S239
ngm_dtas_rg_24145Pal_SB-5_S2.bam,Santa Barbara,New,S240
ngm_dtas_rg_24145Pal_SB-6_S3.bam,Santa Barbara,New,S241
ngm_dtas_rg_24145Pal_SB-8_S4.bam,Santa Barbara,New,S242
ngm_dtas_rg_24145Pal_SD10_S41.bam,San Diego,Aquarium,S243
ngm_dtas_rg_24145Pal_SD1_S34.bam,San Diego,Aquarium,S244
ngm_dtas_rg_24145Pal_SD2_S35.bam,San Diego,Aquarium,S245
ngm_dtas_rg_24145Pal_SD3_S36.bam,San Diego,Aquarium,S246
ngm_dtas_rg_24145Pal_SD5_S37.bam,San Diego,Aquarium,S247
ngm_dtas_rg_24145Pal_SD7_S38.bam,San Diego,Aquarium,S248
ngm_dtas_rg_24145Pal_SD8_S39.bam,San Diego,Aquarium,S249
ngm_dtas_rg_24145Pal_SD9_S40.bam,San Diego,Aquarium,S250
ngm_dtas_rg_24145Pal_T15_S9.bam,Fort Bragg,Historic,S251
